,index,Food,Hobbies,Household
0,0,23178.0,3764.0,5689.0
1,1,22758.0,3357.0,5634.0
2,2,17174.0,2682.0,3927.0
3,3,18878.0,2669.0,3865.0
4,4,14603.0,1814.0,2729.0
5,5,22093.0,3220.0,3898.0
6,6,20490.0,2944.0,4576.0
7,7,27751.0,3986.0,6195.0
8,8,24862.0,2899.0,4975.0
9,9,18901.0,2615.0,4056.0
10,10,16963.0,2547.0,3561.0
11,11,17655.0,2457.0,3546.0
12,12,17340.0,2700.0,3716.0
13,13,19038.0,2822.0,4585.0
14,14,25187.0,3699.0,5947.0
15,15,26656.0,3417.0,6307.0
16,16,16015.0,2233.0,3556.0
17,17,17425.0,2554.0,4091.0
18,18,15351.0,2170.0,3922.0
19,19,14290.0,2049.0,3979.0
20,20,16594.0,2284.0,4843.0
21,21,20938.0,4142.0,6609.0
22,22,20028.0,2978.0,6277.0
23,23,16373.0,2735.0,4858.0
24,24,14043.0,2459.0,3999.0
25,25,13932.0,2758.0,4067.0
26,26,13733.0,2559.0,3985.0
27,27,15480.0,2675.0,4374.0
28,28,19905.0,4088.0,5915.0
29,29,20660.0,2118.0,5929.0
30,30,15066.0,1771.0,4403.0
31,31,16568.0,1833.0,4471.0
32,32,16218.0,1675.0,4153.0
33,33,17242.0,1855.0,4378.0
34,34,17512.0,1653.0,4407.0
35,35,23072.0,2096.0,6034.0
36,36,24909.0,3795.0,6172.0
37,37,17588.0,2687.0,4287.0
38,38,16280.0,2519.0,3953.0
39,39,16039.0,2955.0,3566.0
40,40,16007.0,2686.0,3933.0
41,41,18125.0,2688.0,4759.0
42,42,22545.0,3630.0,6050.0
43,43,22239.0,3282.0,5896.0
44,44,17859.0,2500.0,4576.0
45,45,17284.0,2522.0,4215.0
46,46,15685.0,2736.0,4344.0
47,47,15081.0,2434.0,4264.0
48,48,16267.0,2687.0,4901.0
49,49,20467.0,3702.0,6430.0
50,50,20289.0,3174.0,6180.0
51,51,15973.0,2499.0,4629.0
52,52,14176.0,2303.0,4013.0
53,53,13214.0,2384.0,3632.0
54,54,12959.0,2347.0,3548.0
55,55,15485.0,3239.0,4626.0
56,56,19943.0,3524.0,6153.0
57,57,20229.0,3537.0,6100.0
58,58,14704.0,2738.0,4007.0
59,59,13389.0,2388.0,3804.0
60,60,12891.0,2503.0,3534.0
61,61,14675.0,3120.0,3947.0
62,62,19357.0,3544.0,5408.0
63,63,22603.0,3996.0,6879.0
64,64,23396.0,3504.0,6158.0
65,65,17511.0,2862.0,4479.0
66,66,17253.0,2393.0,3935.0
67,67,16584.0,2427.0,3645.0
68,68,16448.0,2643.0,3810.0
69,69,17212.0,3145.0,4397.0
70,70,22221.0,3501.0,6023.0
71,71,22238.0,3364.0,5934.0
72,72,17589.0,2941.0,4299.0
73,73,16825.0,2607.0,3786.0
74,74,15232.0,2572.0,3807.0
75,75,15324.0,2674.0,3966.0
76,76,18016.0,2807.0,4659.0
77,77,19817.0,3371.0,6046.0
78,78,20547.0,3026.0,6214.0
79,79,15127.0,2790.0,4472.0
80,80,13454.0,2179.0,3841.0
81,81,13799.0,2356.0,4033.0
82,82,13741.0,2176.0,3851.0
83,83,16889.0,2474.0,4916.0
84,84,20924.0,3058.0,5593.0
85,85,16870.0,2446.0,4702.0
86,86,12922.0,2865.0,4217.0
87,87,11883.0,2517.0,3713.0
88,88,11616.0,2515.0,3798.0
89,89,11680.0,2500.0,3965.0
90,90,14714.0,2907.0,5114.0
91,91,17776.0,4039.0,6286.0
92,92,19746.0,3381.0,5918.0
93,93,15703.0,2590.0,4544.0
94,94,16581.0,3002.0,4497.0
95,95,14160.0,2549.0,4052.0
96,96,14778.0,2605.0,3801.0
97,97,17267.0,2828.0,4391.0
98,98,19679.0,3466.0,5267.0
99,99,16383.0,2880.0,4425.0
100,100,17988.0,2670.0,4366.0
101,101,15767.0,2584.0,3880.0
102,102,15180.0,2781.0,4204.0
103,103,15559.0,2811.0,4043.0
104,104,17382.0,3153.0,5113.0
105,105,19108.0,3580.0,6048.0
106,106,21766.0,3466.0,6088.0
107,107,15034.0,3001.0,4178.0
108,108,13313.0,2433.0,3867.0
109,109,12618.0,2485.0,3667.0
110,110,12732.0,2181.0,3771.0
111,111,14330.0,2886.0,4433.0
112,112,17661.0,3604.0,5847.0
113,113,17855.0,3105.0,5286.0
114,114,14392.0,2626.0,3936.0
115,115,13175.0,2336.0,3692.0
116,116,13070.0,2316.0,3672.0
117,117,13744.0,2729.0,4007.0
118,118,14825.0,3272.0,4384.0
119,119,17214.0,3214.0,5099.0
120,120,16161.0,2532.0,4756.0
121,121,15540.0,2159.0,4839.0
122,122,13042.0,2188.0,4325.0
123,123,15746.0,2478.0,4941.0
124,124,15980.0,2375.0,4326.0
125,125,18741.0,2974.0,5066.0
126,126,21155.0,3014.0,6141.0
127,127,22466.0,3204.0,5934.0
128,128,19283.0,2710.0,4692.0
129,129,18430.0,2393.0,4266.0
130,130,17456.0,2845.0,4152.0
131,131,17956.0,2593.0,4233.0
132,132,17965.0,3471.0,4983.0
133,133,20553.0,3453.0,5934.0
134,134,22662.0,2616.0,5816.0
135,135,18447.0,2695.0,4610.0
136,136,17047.0,2781.0,4327.0
137,137,18274.0,2652.0,4332.0
138,138,15713.0,2802.0,4191.0
139,139,17170.0,2836.0,4706.0
140,140,19647.0,3545.0,5633.0
141,141,18141.0,2878.0,5087.0
142,142,16915.0,2703.0,4643.0
143,143,15323.0,2298.0,4189.0
144,144,14630.0,2558.0,4213.0
145,145,15464.0,2822.0,4494.0
146,146,16530.0,3116.0,4992.0
147,147,17915.0,3140.0,5427.0
148,148,19008.0,3124.0,5536.0
149,149,15491.0,2837.0,4314.0
150,150,13457.0,2515.0,3828.0
151,151,13565.0,2522.0,3843.0
152,152,14731.0,2570.0,4150.0
153,153,21397.0,3757.0,5879.0
154,154,23387.0,3681.0,5933.0
155,155,21577.0,2734.0,4862.0
156,156,16825.0,2308.0,3900.0
157,157,19385.0,2660.0,4551.0
158,158,18922.0,2939.0,4741.0
159,159,19122.0,2690.0,4915.0
160,160,19641.0,2787.0,5251.0
161,161,22573.0,3568.0,6345.0
162,162,22079.0,3175.0,6285.0
163,163,19331.0,2493.0,4768.0
164,164,17762.0,2553.0,4317.0
165,165,16805.0,2528.0,4112.0
166,166,16738.0,2392.0,4317.0
167,167,19505.0,2913.0,4931.0
168,168,21333.0,3552.0,5984.0
169,169,21346.0,3202.0,5786.0
170,170,17203.0,2875.0,4561.0
171,171,15379.0,2550.0,4002.0
172,172,15844.0,2512.0,4131.0
173,173,15826.0,2483.0,4469.0
174,174,18194.0,3077.0,5085.0
175,175,20353.0,3666.0,6265.0
176,176,19889.0,3185.0,5725.0
177,177,15676.0,2749.0,4470.0
178,178,14496.0,2520.0,4179.0
179,179,14207.0,2330.0,3967.0
180,180,14523.0,2527.0,4193.0
181,181,16711.0,2700.0,5131.0
182,182,18794.0,3714.0,6445.0
183,183,19672.0,2951.0,6054.0
184,184,18297.0,2990.0,5320.0
185,185,17788.0,2768.0,4919.0
186,186,19290.0,2978.0,4969.0
187,187,16481.0,2566.0,4666.0
188,188,18719.0,2684.0,5191.0
189,189,22291.0,3517.0,6151.0
190,190,22867.0,2811.0,6328.0
191,191,19237.0,2428.0,4689.0
192,192,19192.0,2626.0,4395.0
193,193,17236.0,2784.0,4558.0
194,194,17803.0,2459.0,4446.0
195,195,20262.0,2958.0,5324.0
196,196,23357.0,3223.0,6423.0
197,197,24373.0,3132.0,6404.0
198,198,20767.0,2655.0,5089.0
199,199,17832.0,2601.0,4833.0
200,200,16681.0,2397.0,4603.0
201,201,16613.0,2306.0,4457.0
202,202,18594.0,3007.0,5403.0
203,203,21992.0,3568.0,6698.0
204,204,24065.0,2983.0,6925.0
205,205,17855.0,2577.0,4892.0
206,206,15800.0,2371.0,4446.0
207,207,15068.0,2690.0,4177.0
208,208,14616.0,2501.0,4297.0
209,209,16363.0,2943.0,4962.0
210,210,20449.0,3506.0,6428.0
211,211,21993.0,2431.0,6202.0
212,212,15733.0,1939.0,4413.0
213,213,13750.0,2263.0,4337.0
214,214,14788.0,2316.0,4619.0
215,215,18505.0,2624.0,5170.0
216,216,20388.0,3092.0,5728.0
217,217,23937.0,3513.0,6582.0
218,218,19081.0,2284.0,5560.0
219,219,21743.0,2581.0,5834.0
220,220,18482.0,2744.0,4908.0
221,221,17462.0,2288.0,4695.0
222,222,16918.0,2548.0,4582.0
223,223,19975.0,2748.0,5523.0
224,224,23036.0,3160.0,6834.0
225,225,24875.0,2949.0,6808.0
226,226,19155.0,2257.0,4726.0
227,227,17899.0,2167.0,4579.0
228,228,16848.0,2283.0,4374.0
229,229,19053.0,2543.0,4747.0
230,230,18696.0,2550.0,5687.0
231,231,22345.0,3198.0,6652.0
232,232,22705.0,2853.0,6476.0
233,233,17218.0,2355.0,4794.0
234,234,16017.0,2250.0,4408.0
235,235,15245.0,2328.0,4223.0
236,236,15254.0,2318.0,4287.0
237,237,18562.0,2787.0,5357.0
238,238,22717.0,2992.0,6757.0
239,239,23802.0,2919.0,6507.0
240,240,17037.0,2492.0,4561.0
241,241,16115.0,2393.0,4280.0
242,242,15712.0,2316.0,4165.0
243,243,15503.0,2462.0,4418.0
244,244,20642.0,3363.0,6177.0
245,245,27178.0,3938.0,8196.0
246,246,26994.0,3012.0,7208.0
247,247,22299.0,2983.0,5173.0
248,248,18876.0,2569.0,4669.0
249,249,19340.0,2190.0,4383.0
250,250,19367.0,2356.0,4343.0
251,251,21904.0,2952.0,5129.0
252,252,26152.0,3448.0,6330.0
253,253,26780.0,2864.0,6296.0
254,254,21598.0,2749.0,5054.0
255,255,20286.0,2764.0,4377.0
256,256,20503.0,2334.0,4577.0
257,257,19143.0,2448.0,4525.0
258,258,21228.0,2928.0,5729.0
259,259,27704.0,3545.0,7177.0
260,260,26041.0,2983.0,7103.0
261,261,19880.0,2549.0,5163.0
262,262,17184.0,2358.0,4660.0
263,263,15683.0,2565.0,4193.0
264,264,15824.0,2306.0,4272.0
265,265,18939.0,2890.0,5301.0
266,266,23055.0,3413.0,6683.0
267,267,23194.0,3177.0,6505.0
268,268,17135.0,2581.0,4800.0
269,269,15736.0,2361.0,4340.0
270,270,14886.0,2675.0,4581.0
271,271,15679.0,2765.0,4538.0
272,272,18609.0,3046.0,5225.0
273,273,22851.0,3758.0,6610.0
274,274,22638.0,3022.0,6193.0
275,275,15441.0,2808.0,4446.0
276,276,18137.0,2835.0,5067.0
277,277,17526.0,2616.0,4666.0
278,278,19801.0,2985.0,5116.0
279,279,19957.0,3014.0,5625.0
280,280,26236.0,3734.0,6917.0
281,281,27911.0,3100.0,6876.0
282,282,20030.0,2437.0,4811.0
283,283,18567.0,2388.0,4233.0
284,284,19506.0,2457.0,4129.0
285,285,18691.0,2602.0,4854.0
286,286,21652.0,2778.0,5325.0
287,287,25772.0,3486.0,6664.0
288,288,26203.0,2688.0,6457.0
289,289,19385.0,2663.0,4725.0
290,290,19738.0,2416.0,4547.0
291,291,17172.0,2373.0,4383.0
292,292,16538.0,2350.0,4226.0
293,293,18711.0,2764.0,5032.0
294,294,23660.0,3229.0,6656.0
295,295,23044.0,3203.0,6506.0
296,296,18295.0,2516.0,4763.0
297,297,18554.0,2285.0,4815.0
298,298,23261.0,2460.0,5066.0
299,299,14489.0,1140.0,2798.0
300,300,16733.0,2631.0,4634.0
301,301,17121.0,2948.0,5223.0
302,302,19262.0,2615.0,5257.0
303,303,15668.0,2449.0,4261.0
304,304,14907.0,2769.0,3908.0
305,305,14770.0,2393.0,3926.0
306,306,18321.0,3151.0,4796.0
307,307,21160.0,3164.0,5403.0
308,308,27404.0,4238.0,6487.0
309,309,25427.0,3318.0,6333.0
310,310,21909.0,2623.0,4688.0
311,311,20495.0,2661.0,4111.0
312,312,18883.0,2581.0,3989.0
313,313,19365.0,2747.0,4235.0
314,314,21637.0,2955.0,4846.0
315,315,25296.0,3417.0,6073.0
316,316,27114.0,2830.0,5799.0
317,317,22015.0,2831.0,4305.0
318,318,20528.0,2443.0,3942.0
319,319,20201.0,2485.0,4108.0
320,320,22490.0,2894.0,4260.0
321,321,21275.0,2914.0,4696.0
322,322,24797.0,3270.0,6092.0
323,323,23652.0,2802.0,5633.0
324,324,19961.0,2627.0,4480.0
325,325,19255.0,2620.0,4387.0
326,326,19578.0,2763.0,4321.0
327,327,20555.0,2945.0,4682.0
328,328,25966.0,3350.0,5330.0
329,329,23432.0,2580.0,3946.0
330,330,13.0,0.0,0.0
331,331,19210.0,3244.0,5578.0
332,332,17379.0,2538.0,4734.0
333,333,17401.0,2548.0,4842.0
334,334,17149.0,2427.0,4965.0
335,335,23501.0,3581.0,6570.0
336,336,25041.0,2849.0,5861.0
337,337,15898.0,1825.0,4084.0
338,338,23631.0,3082.0,6340.0
339,339,21115.0,2649.0,4987.0
340,340,18627.0,2526.0,4668.0
341,341,21132.0,2433.0,4934.0
342,342,22325.0,2957.0,5123.0
343,343,27327.0,3468.0,6348.0
344,344,27712.0,2708.0,6302.0
345,345,21688.0,2203.0,4315.0
346,346,19807.0,2467.0,4366.0
347,347,21772.0,2844.0,4428.0
348,348,18816.0,2110.0,3789.0
349,349,21831.0,2631.0,5001.0
350,350,26918.0,3371.0,6526.0
351,351,27677.0,2977.0,5805.0
352,352,22421.0,2797.0,5330.0
353,353,16683.0,1988.0,3516.0
354,354,18539.0,2508.0,4301.0
355,355,17552.0,2414.0,4068.0
356,356,19766.0,2419.0,5019.0
357,357,27425.0,3827.0,7326.0
358,358,23909.0,2585.0,6093.0
359,359,17725.0,2426.0,4551.0
360,360,16927.0,2462.0,4160.0
361,361,16204.0,2244.0,3960.0
362,362,16251.0,2550.0,4436.0
363,363,19221.0,2789.0,5189.0
364,364,24127.0,3696.0,6539.0
365,365,24108.0,3212.0,6257.0
366,366,18278.0,2227.0,4683.0
367,367,17948.0,2492.0,4684.0
368,368,20989.0,3012.0,5850.0
369,369,20819.0,2682.0,5114.0
370,370,25333.0,3308.0,6463.0
371,371,30722.0,4026.0,8281.0
372,372,30180.0,3156.0,6739.0
373,373,22951.0,2546.0,5184.0
374,374,20626.0,2438.0,5044.0
375,375,21170.0,2323.0,5086.0
376,376,22467.0,2605.0,4855.0
377,377,22101.0,2676.0,5086.0
378,378,30252.0,3926.0,7579.0
379,379,31167.0,3283.0,7454.0
380,380,24331.0,2335.0,5009.0
381,381,18774.0,2295.0,4031.0
382,382,19494.0,2484.0,4900.0
383,383,17551.0,2579.0,5065.0
384,384,18998.0,2860.0,5746.0
385,385,25763.0,3581.0,7278.0
386,386,25964.0,3137.0,7237.0
387,387,21666.0,2430.0,6122.0
388,388,17853.0,2564.0,4773.0
389,389,16958.0,2460.0,4697.0
390,390,17631.0,2440.0,5140.0
391,391,19849.0,2599.0,5422.0
392,392,24666.0,3723.0,7380.0
393,393,25699.0,3314.0,7268.0
394,394,19498.0,2440.0,5332.0
395,395,17124.0,2471.0,4764.0
396,396,17347.0,2525.0,4930.0
397,397,21248.0,3025.0,5959.0
398,398,23537.0,3121.0,5885.0
399,399,29739.0,3809.0,7771.0
400,400,29217.0,3462.0,7646.0
401,401,24562.0,2635.0,5506.0
402,402,23686.0,2604.0,5242.0
403,403,20866.0,2586.0,5156.0
404,404,21797.0,2593.0,5369.0
405,405,24112.0,2602.0,5608.0
406,406,28103.0,3590.0,7866.0
407,407,29549.0,3292.0,7771.0
408,408,24391.0,2481.0,5629.0
409,409,21406.0,2351.0,5343.0
410,410,20598.0,2247.0,4996.0
411,411,22828.0,2643.0,5281.0
412,412,22504.0,2804.0,5643.0
413,413,26869.0,3552.0,7483.0
414,414,26962.0,3103.0,7629.0
415,415,20626.0,2777.0,5784.0
416,416,18225.0,2430.0,4878.0
417,417,18902.0,2349.0,4976.0
418,418,18815.0,2253.0,4947.0
419,419,20793.0,2817.0,5445.0
420,420,26487.0,3559.0,7043.0
421,421,27345.0,3133.0,7365.0
422,422,19662.0,2321.0,5199.0
423,423,17673.0,2467.0,4509.0
424,424,17683.0,2376.0,4724.0
425,425,16997.0,2366.0,4516.0
426,426,21607.0,3145.0,5980.0
427,427,26537.0,4013.0,7913.0
428,428,29224.0,3102.0,7457.0
429,429,23227.0,2818.0,5314.0
430,430,24983.0,2767.0,5283.0
431,431,21111.0,2282.0,4925.0
432,432,23815.0,2530.0,5023.0
433,433,28602.0,3085.0,5858.0
434,434,34587.0,3757.0,7294.0
435,435,27883.0,2290.0,6037.0
436,436,23870.0,2672.0,5451.0
437,437,21164.0,2586.0,5050.0
438,438,21572.0,2859.0,5144.0
439,439,21116.0,2597.0,4855.0
440,440,22686.0,3234.0,6018.0
441,441,27546.0,3623.0,7377.0
442,442,28433.0,3224.0,7050.0
443,443,19680.0,2848.0,5144.0
444,444,18939.0,2303.0,4825.0
445,445,17589.0,2392.0,4718.0
446,446,17751.0,2590.0,4483.0
447,447,20271.0,2613.0,5259.0
448,448,26514.0,3245.0,6949.0
449,449,26894.0,3014.0,6856.0
450,450,19078.0,2670.0,4922.0
451,451,17829.0,2459.0,4560.0
452,452,17621.0,2498.0,4329.0
453,453,17733.0,2282.0,4515.0
454,454,20502.0,2825.0,5650.0
455,455,25131.0,3534.0,6982.0
456,456,25978.0,3407.0,6739.0
457,457,19645.0,2393.0,5318.0
458,458,21643.0,2846.0,5801.0
459,459,21481.0,2736.0,5022.0
460,460,24223.0,3228.0,5508.0
461,461,24116.0,3180.0,5636.0
462,462,29358.0,3268.0,6575.0
463,463,31323.0,3375.0,6831.0
464,464,26266.0,2204.0,5007.0
465,465,23671.0,2074.0,4688.0
466,466,23528.0,2090.0,4586.0
467,467,21741.0,2203.0,4220.0
468,468,25591.0,2279.0,4944.0
469,469,31472.0,2714.0,6686.0
470,470,26101.0,2306.0,5362.0
471,471,24377.0,2063.0,5143.0
472,472,24516.0,2244.0,4998.0
473,473,21413.0,2289.0,4975.0
474,474,20836.0,1986.0,4501.0
475,475,24572.0,2338.0,5401.0
476,476,28523.0,2855.0,6551.0
477,477,29991.0,2644.0,6879.0
478,478,21320.0,2175.0,5310.0
479,479,20500.0,1951.0,5051.0
480,480,19877.0,1947.0,4799.0
481,481,21049.0,2164.0,4750.0
482,482,24619.0,2424.0,5754.0
483,483,27755.0,2790.0,6694.0
484,484,25055.0,2798.0,6000.0
485,485,24793.0,2652.0,5962.0
486,486,20884.0,2620.0,5116.0
487,487,19506.0,2547.0,5097.0
488,488,20298.0,2896.0,5615.0
489,489,26898.0,3774.0,8857.0
490,490,32202.0,3743.0,8998.0
491,491,33122.0,3287.0,7501.0
492,492,24514.0,2967.0,5813.0
493,493,26183.0,2556.0,5267.0
494,494,25754.0,2879.0,4954.0
495,495,24494.0,2773.0,5268.0
496,496,27811.0,3280.0,5810.0
497,497,32770.0,3513.0,7026.0
498,498,32818.0,3315.0,8811.0
499,499,29649.0,2787.0,7200.0
500,500,26197.0,2431.0,6446.0
501,501,23692.0,2736.0,6502.0
502,502,24772.0,2500.0,6510.0
503,503,30641.0,3201.0,7956.0
504,504,31590.0,3826.0,9022.0
505,505,28421.0,2927.0,7691.0
506,506,24353.0,2784.0,6963.0
507,507,22653.0,2513.0,6801.0
508,508,22145.0,2603.0,6720.0
509,509,21436.0,2854.0,6474.0
510,510,25388.0,3602.0,7487.0
511,511,28070.0,3248.0,8692.0
512,512,28785.0,3207.0,8517.0
513,513,22147.0,2609.0,7091.0
514,514,20473.0,2737.0,6161.0
515,515,20323.0,2527.0,6035.0
516,516,21063.0,2468.0,6054.0
517,517,24863.0,3434.0,8080.0
518,518,27386.0,3985.0,9223.0
519,519,29233.0,2636.0,8830.0
520,520,26523.0,2314.0,7026.0
521,521,29682.0,2414.0,7446.0
522,522,24727.0,1930.0,5999.0
523,523,25331.0,2081.0,6996.0
524,524,29846.0,2638.0,7507.0
525,525,30605.0,2677.0,8149.0
526,526,31165.0,3367.0,8140.0
527,527,26688.0,2647.0,6435.0
528,528,23631.0,2630.0,6326.0
529,529,24229.0,2711.0,6132.0
530,530,24277.0,2567.0,6233.0
531,531,25931.0,3300.0,7351.0
532,532,29842.0,3692.0,8814.0
533,533,31949.0,3216.0,8524.0
534,534,23498.0,2868.0,6654.0
535,535,21854.0,2596.0,5968.0
536,536,20397.0,2661.0,5858.0
537,537,21435.0,3137.0,6292.0
538,538,24826.0,3405.0,7171.0
539,539,27794.0,3593.0,8157.0
540,540,28210.0,3390.0,8352.0
541,541,21925.0,2735.0,6204.0
542,542,21127.0,2301.0,6051.0
543,543,20424.0,2126.0,5804.0
544,544,20162.0,2277.0,6099.0
545,545,22830.0,2457.0,6553.0
546,546,24118.0,2783.0,7687.0
547,547,25927.0,2444.0,7776.0
548,548,20822.0,2094.0,6017.0
549,549,20591.0,2353.0,6587.0
550,550,23954.0,2563.0,7453.0
551,551,25294.0,2604.0,7362.0
552,552,28727.0,2833.0,7951.0
553,553,29657.0,2810.0,8809.0
554,554,31801.0,2629.0,8579.0
555,555,27608.0,2268.0,7148.0
556,556,23779.0,2166.0,6449.0
557,557,24043.0,2023.0,6235.0
558,558,26042.0,2007.0,6959.0
559,559,25861.0,2445.0,8159.0
560,560,32103.0,2716.0,9262.0
561,561,33640.0,2647.0,9511.0
562,562,26301.0,2055.0,7674.0
563,563,25053.0,2075.0,7184.0
564,564,26310.0,2254.0,6933.0
565,565,24791.0,2452.0,7162.0
566,566,25186.0,2490.0,7781.0
567,567,29402.0,2885.0,9234.0
568,568,30722.0,2912.0,9730.0
569,569,23145.0,2071.0,7194.0
570,570,21221.0,1954.0,7031.0
571,571,19995.0,2203.0,6724.0
572,572,19900.0,2012.0,6640.0
573,573,22808.0,2439.0,7797.0
574,574,27425.0,2812.0,9727.0
575,575,29159.0,2754.0,9108.0
576,576,21742.0,2355.0,6913.0
577,577,20118.0,2112.0,6242.0
578,578,18979.0,2061.0,6061.0
579,579,19819.0,1952.0,6532.0
580,580,24435.0,2992.0,9665.0
581,581,30247.0,3375.0,11008.0
582,582,30330.0,2609.0,9880.0
583,583,32349.0,2469.0,9707.0
584,584,22229.0,2308.0,7342.0
585,585,22931.0,2102.0,6821.0
586,586,23038.0,2224.0,7313.0
587,587,24337.0,2327.0,8111.0
588,588,29363.0,3017.0,10838.0
589,589,32936.0,2831.0,10882.0
590,590,23144.0,2041.0,7787.0
591,591,23088.0,2151.0,7131.0
592,592,22506.0,1896.0,6616.0
593,593,20926.0,2028.0,7188.0
594,594,24991.0,2510.0,8858.0
595,595,32157.0,3065.0,10737.0
596,596,30901.0,3190.0,10195.0
597,597,22105.0,2195.0,7560.0
598,598,19639.0,2507.0,7130.0
599,599,18408.0,2195.0,6462.0
600,600,19301.0,2096.0,7160.0
601,601,22378.0,2483.0,8773.0
602,602,27922.0,3211.0,10756.0
603,603,27876.0,2775.0,10711.0
604,604,19740.0,2280.0,7156.0
605,605,18975.0,1942.0,7062.0
606,606,18298.0,2052.0,6582.0
607,607,18276.0,2193.0,6762.0
608,608,21928.0,2555.0,8173.0
609,609,27507.0,2985.0,10489.0
610,610,27352.0,2742.0,9642.0
611,611,23833.0,2522.0,8486.0
612,612,24338.0,2362.0,7130.0
613,613,24361.0,2476.0,7383.0
614,614,20913.0,2434.0,6728.0
615,615,24515.0,2432.0,7641.0
616,616,31141.0,2950.0,9949.0
617,617,29673.0,2757.0,9442.0
618,618,24230.0,2189.0,7371.0
619,619,23636.0,2246.0,6413.0
620,620,21331.0,2020.0,6618.0
621,621,21622.0,2220.0,6156.0
622,622,24707.0,2568.0,7777.0
623,623,28872.0,3042.0,10312.0
624,624,29499.0,2743.0,9995.0
625,625,24260.0,2187.0,7237.0
626,626,19213.0,1973.0,6683.0
627,627,18531.0,2112.0,6460.0
628,628,17729.0,2249.0,6191.0
629,629,20116.0,2380.0,7215.0
630,630,24247.0,2815.0,9627.0
631,631,24911.0,2763.0,9313.0
632,632,18082.0,2117.0,6513.0
633,633,17205.0,2050.0,6164.0
634,634,16486.0,2128.0,5776.0
635,635,16225.0,2094.0,5993.0
636,636,21648.0,2777.0,7438.0
637,637,26069.0,3015.0,9463.0
638,638,25456.0,2812.0,8916.0
639,639,18854.0,2342.0,6385.0
640,640,19666.0,2373.0,6041.0
641,641,17521.0,2001.0,5453.0
642,642,20551.0,2518.0,7982.0
643,643,24094.0,2954.0,8466.0
644,644,31396.0,3307.0,10376.0
645,645,29166.0,2915.0,10464.0
646,646,23990.0,2145.0,6922.0
647,647,22357.0,2029.0,6128.0
648,648,21404.0,2072.0,6207.0
649,649,22229.0,2191.0,6337.0
650,650,25947.0,2413.0,7362.0
651,651,30152.0,3237.0,9495.0
652,652,31469.0,3004.0,9044.0
653,653,24447.0,2202.0,6564.0
654,654,20713.0,2120.0,5475.0
655,655,20250.0,1876.0,5709.0
656,656,21876.0,1967.0,5870.0
657,657,22120.0,2396.0,7100.0
658,658,27847.0,3157.0,9437.0
659,659,26083.0,2609.0,8884.0
660,660,20534.0,2253.0,6543.0
661,661,21783.0,2205.0,6286.0
662,662,25814.0,2195.0,7199.0
663,663,16806.0,1064.0,4039.0
664,664,15448.0,1958.0,6017.0
665,665,20047.0,2335.0,7634.0
666,666,22240.0,2579.0,7913.0
667,667,17631.0,2253.0,6592.0
668,668,16702.0,1927.0,5860.0
669,669,16091.0,1964.0,5490.0
670,670,16222.0,2036.0,5610.0
671,671,19942.0,2471.0,7976.0
